Date,ProShares Name,Ticker,NAV,Prior NAV,NAV Change (%),NAV Change ($),Shares Outstanding (000),Assets Under Management
12/14/2023,ProShares UltraPro Short QQQ,SQQQ,14.4097,14.3297,0.55828,0.08,244100.55,3517415652.1059
12/13/2023,ProShares UltraPro Short QQQ,SQQQ,14.3297,14.8895,-3.75970,-0.5598,243050.55,3482841423.3459
12/12/2023,ProShares UltraPro Short QQQ,SQQQ,14.8895,15.2567,-2.40681,-0.3672,245400.55,3653891444.5565
12/11/2023,ProShares UltraPro Short QQQ,SQQQ,15.2567,15.6478,-2.49939,-0.3911,245950.55,3752393710.4149
12/08/2023,ProShares UltraPro Short QQQ,SQQQ,15.6478,15.8184,-1.07849,-0.1706,244300.55,3822766099.3466
12/07/2023,ProShares UltraPro Short QQQ,SQQQ,15.8184,16.5335,-4.32516,-0.7151,244400.55,3866025612.6648
12/06/2023,ProShares UltraPro Short QQQ,SQQQ,16.5335,16.2487,1.75276,0.2848,238800.55,3948208843.8245
12/05/2023,ProShares UltraPro Short QQQ,SQQQ,16.2487,16.3574,-0.66453,-0.1087,238950.55,3882635753.0389
12/04/2023,ProShares UltraPro Short QQQ,SQQQ,16.3574,15.8791,3.01214,0.4783,238500.55,3901248847.4978
12/01/2023,ProShares UltraPro Short QQQ,SQQQ,15.8791,16.0154,-0.85106,-0.1363,239650.55,3805435000.8677
11/30/2023,ProShares UltraPro Short QQQ,SQQQ,16.0154,15.8865,0.81138,0.1289,240500.55,3851712460.4238
11/29/2023,ProShares UltraPro Short QQQ,SQQQ,15.8865,15.8136,0.46100,0.0729,235750.55,3745251064.9155
11/28/2023,ProShares UltraPro Short QQQ,SQQQ,15.8136,15.9494,-0.85144,-0.1358,234450.55,3707507170.0392
11/27/2023,ProShares UltraPro Short QQQ,SQQQ,15.9494,15.8811,0.43007,0.0683,234650.55,3742535434.3218
11/24/2023,ProShares UltraPro Short QQQ,SQQQ,15.8811,15.8104,0.44717,0.0707,235950.55,3747154231.9617
11/22/2023,ProShares UltraPro Short QQQ,SQQQ,15.8104,15.9904,-1.12568,-0.18,246250.55,3893319648.2888
11/21/2023,ProShares UltraPro Short QQQ,SQQQ,15.9904,15.702,1.83671,0.2884,225450.55,3605044426.7488
11/20/2023,ProShares UltraPro Short QQQ,SQQQ,15.702,16.2763,-3.52844,-0.5743,227400.55,3570643388.994
11/17/2023,ProShares UltraPro Short QQQ,SQQQ,16.2763,16.2767,-0.00246,-0.0004,229300.55,3732164493.1361
11/16/2023,ProShares UltraPro Short QQQ,SQQQ,16.2767,16.3077,-0.19009,-0.031,233700.55,3803873693.3549
11/15/2023,ProShares UltraPro Short QQQ,SQQQ,16.3077,16.3262,-0.11331,-0.0185,228450.55,3725502985.3119
11/14/2023,ProShares UltraPro Short QQQ,SQQQ,16.3262,17.4331,-6.34942,-1.1069,229250.55,3742790280.4314
11/13/2023,ProShares UltraPro Short QQQ,SQQQ,17.4331,17.273,0.92688,0.1601,228850.55,3989574470.9057
11/10/2023,ProShares UltraPro Short QQQ,SQQQ,17.273,18.5151,-6.70858,-1.2421,229100.55,3957253748.331
11/09/2023,ProShares UltraPro Short QQQ,SQQQ,18.5151,18.0543,2.55230,0.4608,235150.55,4353835892.7597
11/08/2023,ProShares UltraPro Short QQQ,SQQQ,18.0543,18.104,-0.27452,-0.0497,190450.55,3438451310.7021
11/07/2023,ProShares UltraPro Short QQQ,SQQQ,18.104,18.6135,-2.73726,-0.5095,187700.55,3398130702.888
11/06/2023,ProShares UltraPro Short QQQ,SQQQ,18.6135,18.8132,-1.06149,-0.1997,182900.55,3404419331.5845
11/03/2023,ProShares UltraPro Short QQQ,SQQQ,18.8132,19.5023,-3.53343,-0.6891,183250.55,3447529190.8204
11/02/2023,ProShares UltraPro Short QQQ,SQQQ,19.5023,20.5497,-5.09691,-1.0474,187850.55,3663517722.7581
11/01/2023,ProShares UltraPro Short QQQ,SQQQ,20.5497,21.6899,-5.25682,-1.1402,158300.55,3253028750.6859
10/31/2023,ProShares UltraPro Short QQQ,SQQQ,21.6899,22.0212,-1.50446,-0.3313,163650.55,3549563999.3753
10/30/2023,ProShares UltraPro Short QQQ,SQQQ,22.0212,22.7632,-3.25965,-0.742,165150.55,3636813225.5964
10/27/2023,ProShares UltraPro Short QQQ,SQQQ,22.7632,23.0921,-1.42430,-0.3289,168450.55,3834473491.4704
10/26/2023,ProShares UltraPro Short QQQ,SQQQ,23.0921,21.8234,5.81348,1.2687,181000.55,4179682731.3787
10/25/2023,ProShares UltraPro Short QQQ,SQQQ,21.8234,20.3088,7.45785,1.5146,165350.55,3608511127.3998
10/24/2023,ProShares UltraPro Short QQQ,SQQQ,20.3088,20.9021,-2.83847,-0.5933,178700.55,3629193668.9136
10/23/2023,ProShares UltraPro Short QQQ,SQQQ,20.9021,21.0825,-0.85569,-0.1804,187650.55,3922290498.4487
